size(bytes), seal time(μs), unseal time(μs)
50000,41,34
100000,57,53
150000,80,73
200000,103,96
250000,127,116
300000,148,138
350000,172,158
400000,193,180
450000,218,201
500000,238,225
550000,263,246
600000,288,267
650000,318,286
700000,332,309
750000,356,327
800000,376,352
850000,405,372
900000,428,406
950000,461,414
1000000,471,439
