size(bytes), seal time(μs), unseal time(μs)
1000000,477 ,454 
2000000,971 ,918 
3000000,1719 ,1652 
4000000,2742 ,2657 
5000000,3858 ,3732 
6000000,5089 ,4970 
7000000,6551 ,6371 
8000000,8525 ,8339 
9000000,10740 ,10594 
10000000,13890 ,13812 
11000000,16836 ,16901 
12000000,20236 ,20288 
13000000,23573 ,23358 
14000000,26380 ,26260 
15000000,29090 ,28910 
16000000,31691 ,31204 
17000000,35364 ,32177 
18000000,36522 ,38441 
19000000,37656 ,38920 
20000000,40041 ,39976 
